Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
1,0,617.289306640625,423.722473144531,164.398880004883,550.313293457031,377.210723876953,161.28971862793,753.478393554688,386.382019042969,28.6055774688721,846.309997558594,242.600845336914,350.074584960938,781.284545898438,282.229522705078,365.274169921875,944.891296386719,284.275207519531,176.362594604492,1037.43054199219,368.657989501953,1376.45336914062
2,0.005,608.127563476562,425.786987304688,171.366119384766,541.874450683594,379.280090332031,171.512252807617,738.090942382812,387.520141601562,28.382116317749,859.789855957031,243.857009887695,335.381744384766,794.184326171875,284.2431640625,346.639465332031,968.345336914062,283.867309570312,167.452056884766,1037.52392578125,368.066070556641,1380.35925292969
3,0.01,599.363220214844,427.869018554688,178.854415893555,533.774963378906,381.686584472656,182.200042724609,723.091430664062,388.451080322266,28.0311374664307,873.715759277344,245.212829589844,320.711639404297,808.145446777344,286.290588378906,327.865417480469,991.924865722656,283.362518310547,158.972839355469,1037.70947265625,367.347625732422,1384.00170898438
4,0.015,590.864074707031,430.017272949219,186.819931030273,525.75146484375,384.533660888672,193.261932373047,708.438171386719,389.140563964844,27.5101070404053,888.029052734375,246.364120483398,306.075561523438,822.610717773438,288.254302978516,309.387023925781,1015.62927246094,282.70849609375,151.098739624023,1037.880859375,366.680297851562,1387.44128417969
5,0.02,582.401489257812,432.229675292969,195.550888061523,517.823913574219,387.675384521484,204.952499389648,693.892700195312,389.613586425781,26.9506244659424,902.976379394531,247.606857299805,291.331817626953,837.956970214844,290.162048339844,290.741485595703,1039.56823730469,281.774383544922,143.645568847656,1037.97973632812,365.969512939453,1390.72814941406
6,0.025,573.783874511719,434.526672363281,204.89387512207,509.715240478516,390.525909423828,217.0634765625,678.608642578125,391.180450439453,28.2441082000732,918.38134765625,248.724548339844,276.755920410156,853.903869628906,291.966156005859,272.523010253906,1063.33642578125,281.108245849609,136.825119018555,1038.18383789062,365.329956054688,1393.69592285156
7,0.03,564.777587890625,436.701019287109,215.060028076172,501.002502441406,392.918731689453,229.419219970703,663.52734375,393.535339355469,34.8707466125488,934.228332519531,249.835006713867,262.339172363281,870.535278320312,293.538208007812,254.328308105469,1087.19848632812,280.459716796875,130.590408325195,1038.3046875,364.67822265625,1396.43286132812
8,0.035,555.141906738281,438.643524169922,226.252822875977,491.496948242188,395.046478271484,241.895294189453,649.086791992188,396.318511962891,42.8047790527344,950.186218261719,250.167816162109,248.463973999023,887.876708984375,295.110046386719,236.427627563477,1110.94091796875,279.80322265625,125.207084655762,1038.41613769531,363.961364746094,1398.85620117188
9,0.04,545.833862304688,440.706695556641,238.144638061523,482.420135498047,397.054870605469,255.056549072266,635.076904296875,399.480590820312,52.4044456481934,966.895935058594,251.019149780273,234.439865112305,905.599853515625,296.470672607422,218.840774536133,1134.64953613281,279.082946777344,120.53337097168,1038.52209472656,363.334381103516,1401.01306152344
10,0.045,537.268798828125,442.579803466797,250.700210571289,473.961242675781,399.078155517578,269.08740234375,620.91259765625,402.632720947266,62.2828407287598,983.832092285156,251.699127197266,220.698822021484,923.84814453125,297.489929199219,201.609390258789,1158.22644042969,278.486694335938,117.061347961426,1038.67248535156,362.683013916016,1402.86499023438
11,0.05,529.465148925781,444.518005371094,263.713195800781,466.485198974609,401.165313720703,283.773071289062,606.675903320312,405.720184326172,72.2803497314453,1001.10430908203,252.226593017578,207.471496582031,942.456970214844,298.264923095703,184.890029907227,1181.49291992188,278.160003662109,114.620765686035,1038.76501464844,361.978546142578,1404.44482421875
12,0.055,522.366638183594,446.348754882812,276.976715087891,459.740112304688,403.173919677734,299.035217285156,592.531799316406,408.788635253906,82.7618026733398,1018.58312988281,252.754089355469,194.665664672852,961.595520019531,298.655578613281,168.512954711914,1204.45080566406,277.839813232422,113.395347595215,1038.71459960938,361.360870361328,1405.90466308594
13,0.06,515.601989746094,448.233337402344,290.606292724609,453.626892089844,404.989929199219,314.562957763672,578.839172363281,411.979400634766,93.8627319335938,1036.09655761719,252.881484985352,182.579895019531,980.820922851562,298.780456542969,152.810363769531,1226.7529296875,277.999176025391,113.404098510742,1038.89233398438,360.612579345703,1406.875
14,0.065,509.35107421875,449.91943359375,304.525482177734,448.051208496094,406.606414794922,330.35595703125,565.972778320312,415.318969726562,105.645034790039,1053.54382324219,252.839996337891,171.199264526367,1000.17517089844,298.6611328125,138.047210693359,1247.97875976562,278.534820556641,114.601181030273,1039.00842285156,359.869873046875,1407.54943847656
15,0.07,503.779632568359,451.583892822266,318.71337890625,443.320831298828,407.954559326172,346.260925292969,553.825866699219,418.707336425781,117.943618774414,1070.78845214844,252.519058227539,160.737045288086,1019.23815917969,298.190490722656,124.504020690918,1268.29382324219,279.235870361328,116.511932373047,1039.07202148438,359.007476806641,1408.04772949219
16,0.075,498.976989746094,452.910461425781,333.211212158203,439.473999023438,409.096405029297,362.406860351562,542.210388183594,422.369934082031,130.676818847656,1087.37414550781,252.000549316406,151.38264465332,1037.85900878906,297.458923339844,112.363540649414,1287.06982421875,279.972625732422,119.166847229004,1039.21350097656,358.083709716797,1408.14501953125
17,0.08,495.194763183594,453.917633056641,347.503265380859,436.683898925781,410.078643798828,378.682708740234,531.187622070312,425.721252441406,143.533416748047,1103.4892578125,251.297836303711,143.074722290039,1055.646484375,296.664794921875,101.843811035156,1304.35876464844,280.750518798828,121.829162597656,1039.26733398438,357.201782226562,1408.06481933594
18,0.085,492.330474853516,455.023498535156,362.037872314453,434.947967529297,410.901336669922,395.093566894531,520.820861816406,429.186492919922,156.744842529297,1118.62658691406,250.430847167969,135.908966064453,1072.27282714844,295.714660644531,92.9673461914062,1319.98205566406,281.516906738281,124.537399291992,1039.22058105469,356.222595214844,1407.65405273438
19,0.09,490.476867675781,456.029541015625,376.570587158203,434.328155517578,411.627014160156,411.475463867188,511.076507568359,432.386871337891,170.14811706543,1132.38952636719,249.439102172852,129.964981079102,1087.36706542969,294.652740478516,85.7741012573242,1333.84106445312,282.191558837891,127.00764465332,1039.18774414062,355.228729248047,1406.96411132812
20,0.095,489.643585205078,457.033813476562,391.029968261719,434.877838134766,412.322906494141,427.824127197266,502.203460693359,435.415924072266,183.830871582031,1144.72375488281,248.445358276367,125.231491088867,1100.63415527344,293.426788330078,79.8699340820312,1345.82751464844,282.993133544922,129.265625,1039.08984375,354.301544189453,1405.98083496094
21,0.1,489.817626953125,457.95458984375,405.243408203125,436.546966552734,413.015716552734,444.064147949219,494.255310058594,438.020416259766,197.663818359375,1155.29663085938,247.643524169922,121.457427978516,1112.17077636719,292.709808349609,74.8699569702148,1355.97375488281,283.784851074219,131.480010986328,1038.94860839844,353.262512207031,1404.65063476562
22,0.105,491.15478515625,458.899841308594,419.216400146484,439.373229980469,413.772399902344,459.962005615234,487.279541015625,440.183898925781,211.551574707031,1163.95825195312,247.350112915039,118.335868835449,1121.68115234375,291.948822021484,70.3777084350586,1364.22387695312,284.801391601562,133.490310668945,1038.83947753906,352.265869140625,1403.00061035156
23,0.11,493.577301025391,459.763854980469,432.745361328125,443.369934082031,414.614807128906,475.481750488281,481.39208984375,442.008483886719,225.387756347656,1170.68676757812,247.512786865234,115.662078857422,1129.32849121094,291.973388671875,66.4195175170898,1370.62976074219,285.772155761719,134.853378295898,1038.59301757812,351.398895263672,1401.07067871094
24,0.115,497.082916259766,460.624908447266,445.836456298828,448.431121826172,415.633850097656,490.510803222656,476.572021484375,443.335296630859,239.157699584961,1175.62377929688,248.160202026367,113.106391906738,1135.03161621094,292.485198974609,62.869010925293,1375.38049316406,286.757598876953,135.214904785156,1038.26586914062,350.474395751953,1398.83251953125
25,0.12,501.609252929688,461.501129150391,458.399383544922,454.591583251953,416.517395019531,505.020294189453,472.884063720703,444.361145019531,252.685577392578,1179.00549316406,248.956436157227,110.192977905273,1139.08142089844,293.338531494141,59.3647117614746,1378.48962402344,287.753570556641,134.264678955078,1037.93676757812,349.643157958984,1396.23608398438
26,0.125,507.046203613281,462.017669677734,470.228149414062,461.710662841797,417.437866210938,518.773132324219,470.305145263672,445.108612060547,265.944091796875,1180.71081542969,249.651641845703,106.73348236084,1140.99206542969,294.335113525391,55.9045715332031,1379.94897460938,288.9130859375,132.126556396484,1037.51708984375,348.809448242188,1393.30517578125
27,0.13,513.398742675781,462.694183349609,481.576110839844,469.834716796875,418.186401367188,531.901245117188,468.841247558594,445.668609619141,278.844940185547,1180.84704589844,250.143173217773,103.039222717285,1141.05078125,295.087432861328,52.332332611084,1379.76696777344,290.35888671875,129.030563354492,1037.15161132812,347.958648681641,1389.97290039062
28,0.135,520.546081542969,463.11767578125,492.180999755859,478.863342285156,418.765441894531,544.175476074219,468.410949707031,446.025115966797,291.349914550781,1179.5263671875,250.840454101562,99.0022125244141,1138.97387695312,295.385070800781,48.6426811218262,1377.69470214844,292.098480224609,125.054161071777,1036.51245117188,347.095336914062,1386.33520507812
29,0.14,528.494445800781,463.48095703125,502.082275390625,488.7119140625,419.138488769531,555.640197753906,469.125396728516,446.412872314453,303.338134765625,1176.14721679688,251.189697265625,94.8498840332031,1135.04650878906,295.591827392578,44.9424209594727,1374.15710449219,294.101898193359,119.834159851074,1036.09594726562,346.226104736328,1382.37255859375
30,0.145,537.190612792969,463.842651367188,511.311920166016,499.363830566406,419.296508789062,566.208923339844,470.803741455078,446.725219726562,314.778015136719,1171.314453125,251.479476928711,90.8145141601562,1128.57458496094,295.889343261719,43.6894416809082,1369.35302734375,295.604736328125,112.928497314453,1035.48620605469,345.168121337891,1378.07189941406
31,0.15,546.631713867188,464.049743652344,519.7177734375,510.781768798828,419.406494140625,575.871459960938,473.596374511719,446.959075927734,325.567260742188,1165.06262207031,251.497314453125,88.2522354125977,1120.16296386719,295.967193603516,45.5830612182617,1363.7626953125,296.569030761719,102.411560058594,1034.83935546875,344.135467529297,1373.57116699219
32,0.155,556.510375976562,464.073608398438,527.206909179688,522.843994140625,419.342071533203,584.583251953125,477.370422363281,447.228576660156,335.687438964844,1156.64453125,252.11067199707,85.3544387817383,1109.51086425781,297.165374755859,47.4755554199219,1356.02172851562,296.200866699219,88.36083984375,1034.27014160156,343.106781005859,1368.80529785156
33,0.16,567.201538085938,464.163696289062,533.885620117188,535.417175292969,419.271362304688,592.357604980469,482.076202392578,447.227478027344,344.908508300781,1145.49450683594,252.708572387695,82.3811874389648,1096.56396484375,297.886291503906,48.727123260498,1345.08447265625,295.566955566406,72.7610855102539,1033.55017089844,342.025146484375,1363.87719726562
34,0.165,578.370178222656,464.288116455078,539.834838867188,548.381958007812,419.162780761719,599.102111816406,487.899475097656,447.166473388672,353.284301757812,1132.38562011719,253.350677490234,80.5329208374023,1081.96350097656,297.407775878906,48.7736968994141,1331.47900390625,298.281524658203,60.680549621582,1032.89916992188,340.945037841797,1358.74548339844
35,0.17,590.069213867188,464.377075195312,544.772888183594,561.594543457031,419.099945068359,604.91162109375,494.810821533203,446.912811279297,360.661590576172,1118.19982910156,254.07258605957,79.9376449584961,1066.02563476562,296.599792480469,48.8426361083984,1315.99340820312,301.669677734375,56.456127166748,1032.24694824219,339.628692626953,1353.43017578125
36,0.175,601.993103027344,464.428894042969,548.8525390625,575.069702148438,419.069854736328,609.70361328125,502.338745117188,445.990417480469,366.841369628906,1102.5927734375,255.314300537109,80.7642440795898,1049.82470703125,297.204620361328,50.196662902832,1299.72912597656,304.798126220703,52.7641792297363,1031.5751953125,337.919128417969,1348.17407226562
37,0.18,614.298889160156,464.45263671875,551.945861816406,588.439453125,419.149658203125,613.520141601562,511.694946289062,445.775512695312,371.906799316406,1088.00500488281,256.941711425781,82.9797897338867,1034.59460449219,297.905059814453,52.7682304382324,1284.74328613281,305.989837646484,46.9804649353027,1031.06359863281,336.638244628906,1343.08264160156
38,0.185,626.643920898438,464.390930175781,554.039367675781,601.742126464844,419.280456542969,616.332763671875,521.508728027344,445.028350830078,375.625366210938,1075.84899902344,258.187286376953,85.9887161254883,1020.41290283203,298.895660400391,55.7847099304199,1271.26550292969,305.472442626953,42.794002532959,1030.71459960938,335.253814697266,1338.40270996094
39,0.19,638.988647460938,464.424102783203,555.216369628906,614.650939941406,419.547393798828,618.0751953125,532.267150878906,444.058807373047,377.891265869141,1063.94592285156,259.556121826172,88.2797775268555,1006.13519287109,300.327911376953,58.5631790161133,1257.29064941406,304.671356201172,37.6807327270508,1030.97473144531,334.036773681641,1334.61328125
