Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
1,0,759.610412597656,479.170684814453,98.2997665405273,703.042663574219,443.504028320312,58.7844352722168,959.060546875,443.427276611328,40.3691253662109,754.489013671875,211.778930664062,95.2909240722656,703.691955566406,252.655807495117,59.1196365356445,955.621459960938,246.352981567383,42.0580139160156,806.426147460938,355.311767578125,1385.73193359375
2,0.005,759.665283203125,479.1220703125,98.3318252563477,703.044372558594,443.506439208984,58.7685928344727,959.046508789062,443.429718017578,40.3837738037109,754.500732421875,211.777496337891,95.2880325317383,703.685485839844,252.656936645508,59.1193237304688,955.686401367188,246.295623779297,42.0822639465332,806.412963867188,355.300598144531,1385.72375488281
3,0.01,759.667663574219,479.118347167969,98.3300399780273,703.027893066406,443.506225585938,58.7617950439453,959.039611816406,443.422210693359,40.381233215332,754.500183105469,211.770858764648,95.2854080200195,703.704772949219,252.625640869141,59.1023712158203,955.685180664062,246.293365478516,42.0820465087891,806.433776855469,355.265991210938,1385.73120117188
4,0.015,759.69287109375,479.094329833984,98.202018737793,702.725769042969,443.472259521484,58.8829612731934,959.042297363281,443.424377441406,40.3838424682617,754.511474609375,211.831420898438,95.2922210693359,703.534606933594,252.831024169922,59.2295188903809,955.687683105469,246.299835205078,42.083137512207,806.403686523438,355.289642333984,1385.7216796875
5,0.02,759.661865234375,479.100769042969,98.2119064331055,702.734130859375,443.449371337891,58.8702430725098,959.037109375,443.419219970703,40.3865242004395,754.500610351562,211.825408935547,95.2960433959961,703.532531738281,252.790328979492,59.2190399169922,955.686218261719,246.297393798828,42.0875244140625,806.4033203125,355.253540039062,1385.72131347656
6,0.025,759.679321289062,479.089233398438,98.1819610595703,702.708129882812,443.464477539062,58.8821678161621,959.040100097656,443.420257568359,40.3912696838379,754.51953125,211.82585144043,95.3006057739258,703.528930664062,252.82275390625,59.242561340332,955.6943359375,246.27864074707,42.0786018371582,806.410949707031,355.213775634766,1385.71960449219
7,0.03,759.668640136719,479.074371337891,98.1938781738281,702.714782714844,443.451446533203,58.8628845214844,959.043640136719,443.4150390625,40.3884506225586,754.511657714844,211.810516357422,95.3057327270508,703.52685546875,252.816329956055,59.2382125854492,955.685607910156,246.291091918945,42.077823638916,806.376831054688,355.181427001953,1385.71411132812
8,0.035,759.676208496094,479.066986083984,98.1814270019531,702.711242675781,443.450775146484,58.8710594177246,959.038391113281,443.408660888672,40.38232421875,754.5322265625,211.815032958984,95.299430847168,703.509338378906,252.80256652832,59.2436408996582,955.688598632812,246.294555664062,42.0869674682617,806.39208984375,355.14599609375,1385.72180175781
9,0.04,759.660034179688,479.046356201172,98.1859359741211,702.721862792969,443.434051513672,58.8533401489258,959.034484863281,443.418365478516,40.3743515014648,754.523986816406,211.801391601562,95.3155059814453,703.535034179688,252.796508789062,59.2429618835449,955.701110839844,246.289276123047,42.0734176635742,806.402770996094,355.115661621094,1385.72973632812
10,0.045,759.668518066406,479.048706054688,98.1869964599609,702.704223632812,443.418975830078,58.8618316650391,959.048034667969,443.416168212891,40.3899688720703,754.522583007812,211.815170288086,95.3064117431641,703.5341796875,252.798950195312,59.2534523010254,955.697814941406,246.288589477539,42.0808143615723,806.375915527344,355.083679199219,1385.73132324219
11,0.05,759.663635253906,479.038238525391,98.1967926025391,702.714721679688,443.422180175781,58.8648567199707,959.039001464844,443.41455078125,40.3786697387695,754.524169921875,211.805114746094,95.3107147216797,703.528747558594,252.797027587891,59.2578239440918,955.6962890625,246.285064697266,42.0713882446289,806.383422851562,355.041046142578,1385.73083496094
