Trial,Side,Step,IC_Time_s,TO_Time_s,ContactTime_s
trial_01,left,1,0.405,0.685,0.28
trial_01,left,2,1.075,1.37,0.295
trial_01,left,3,1.745,2.03,0.285
trial_01,left,4,2.425,2.715,0.29
trial_01,left,5,3.095,3.4,0.305
trial_01,left,6,3.775,4.07,0.295
trial_01,left,7,4.46,4.735,0.275
trial_01,left,8,5.145,5.43,0.285
trial_01,left,9,5.815,6.09,0.275
trial_01,left,10,6.5,6.805,0.305
trial_01,left,11,7.175,7.46,0.285
trial_01,left,12,7.855,8.135,0.28
trial_01,left,13,8.525,8.815,0.29
trial_01,left,14,9.18,9.525,0.345
trial_01,left,15,9.895,10.2,0.305
trial_01,left,16,10.54,10.865,0.325
trial_01,left,17,11.225,11.555,0.33
trial_01,left,18,11.925,12.235,0.31
trial_01,left,19,12.615,12.9,0.285
trial_01,left,20,13.3,13.6,0.3
trial_01,left,21,13.935,14.245,0.31
trial_01,left,22,14.645,14.95,0.305
trial_01,left,23,15.335,15.64,0.305
trial_01,left,24,16.01,16.305,0.295
trial_01,left,25,16.655,17.005,0.35
trial_01,left,26,17.39,17.705,0.315
trial_01,left,27,18.07,18.365,0.295
trial_01,left,28,18.71,19.015,0.305
trial_01,left,29,19.43,19.735,0.305
trial_01,left,30,20.12,20.42,0.3
trial_01,left,31,20.795,21.105,0.31
trial_01,left,32,21.47,21.77,0.3
trial_01,left,33,22.12,22.42,0.3
trial_01,left,34,22.835,23.1,0.265
trial_01,left,35,23.505,23.785,0.28
trial_01,left,36,24.155,24.485,0.33
trial_01,left,37,24.87,25.165,0.295
trial_01,left,38,25.555,25.815,0.26
trial_01,left,39,26.23,26.53,0.3
trial_01,left,40,26.92,27.215,0.295
trial_01,left,41,27.6,27.895,0.295
trial_01,left,42,28.29,28.59,0.3
trial_01,left,43,28.965,29.265,0.3
trial_01,right,1,0.03,0.355,0.325
trial_01,right,2,0.705,1.015,0.31
trial_01,right,3,1.38,1.705,0.325
trial_01,right,4,2.05,2.385,0.335
trial_01,right,5,2.72,3.045,0.325
trial_01,right,6,3.4,3.705,0.305
trial_01,right,7,4.08,4.42,0.34
trial_01,right,8,4.775,5.1,0.325
trial_01,right,9,5.445,5.795,0.35
trial_01,right,10,6.125,6.465,0.34
trial_01,right,11,6.795,7.12,0.325
trial_01,right,12,7.475,7.81,0.335
trial_01,right,13,8.15,8.5,0.35
trial_01,right,14,8.83,9.165,0.335
trial_01,right,15,9.52,9.86,0.34
trial_01,right,16,10.195,10.52,0.325
trial_01,right,17,10.875,11.185,0.31
trial_01,right,18,11.555,11.89,0.335
trial_01,right,19,12.235,12.54,0.305
trial_01,right,20,12.93,13.265,0.335
trial_01,right,21,13.605,13.94,0.335
trial_01,right,22,14.275,14.595,0.32
trial_01,right,23,14.955,15.285,0.33
trial_01,right,24,15.635,15.965,0.33
trial_01,right,25,16.325,16.665,0.34
trial_01,right,26,17.005,17.355,0.35
trial_01,right,27,17.695,18.03,0.335
trial_01,right,28,18.37,18.715,0.345
trial_01,right,29,19.06,19.395,0.335
trial_01,right,30,19.745,20.06,0.315
trial_01,right,31,20.42,20.735,0.315
trial_01,right,32,21.1,21.4,0.3
trial_01,right,33,21.78,22.1,0.32
trial_01,right,34,22.455,22.76,0.305
trial_01,right,35,23.14,23.47,0.33
trial_01,right,36,23.815,24.155,0.34
trial_01,right,37,24.5,24.835,0.335
trial_01,right,38,25.175,25.505,0.33
trial_01,right,39,25.87,26.19,0.32
trial_01,right,40,26.545,26.87,0.325
trial_01,right,41,27.23,27.54,0.31
trial_01,right,42,27.91,28.215,0.305
trial_01,right,43,28.59,28.92,0.33
trial_01,right,44,29.28,29.63,0.35
