Step,Touchdown_s,ToeOff_s,NextTouchdown_s,ContactTime_s,AerialTime_s,dt1_s,dv1_mps,t_step_s,JT_Ns,J1_Ns,J2_Ns,F1avg_N,F2avg_N,A1_N
1,0.405,0.685,1.075,0.28,0.39,0.009999999999999953,0.3300982874148581,0.67,393.04746000000006,4.097001213985357,388.9504587860147,204.85006069926882,1389.1087813786237,409.70012139853765
2,1.075,1.37,1.745,0.295,0.375,0.010000000000000009,0.43568539513307303,0.6699999999999999,393.04746,5.107258660633244,387.94020133936675,255.36293303166198,1315.051529963955,510.72586606332396
3,1.745,2.03,2.425,0.285,0.395,0.009999999999999787,0.28412539820923954,0.6799999999999999,398.91384,3.657132610065984,395.25670738993404,182.85663050330308,1386.865639964681,365.71326100660616
4,2.425,2.715,3.095,0.29,0.38,0.010000000000000231,0.22804918203017943,0.6699999999999999,393.04746,3.1205953736647785,389.9268646263352,156.02976868323532,1344.575395263225,312.05953736647064
5,3.095,3.4,3.775,0.305,0.375,0.009999999999999787,0.33179836544968144,0.6799999999999999,398.91384,4.113267560622532,394.80057243937745,205.66337803113097,1294.4281063586145,411.32675606226195
6,3.775,4.07,4.46,0.295,0.39,0.010000000000000231,0.3363735912693733,0.685,401.8470300000001,4.157043321265386,397.68998667873467,207.8521660632645,1348.1016497584226,415.704332126529
7,4.46,4.735,5.145,0.275,0.41,0.009999999999999787,0.4290663761909466,0.685,401.8470300000001,5.043927887394957,396.80310211260513,252.19639436975322,1442.920371318564,504.39278873950644
8,5.145,5.43,5.815,0.285,0.385,0.010000000000000675,0.3185652419113727,0.6699999999999999,393.04746,3.9866530346080773,389.0608069653919,199.3326517303904,1365.1256384750595,398.6653034607808
9,5.815,6.09,6.5,0.275,0.41,0.009999999999999787,0.39983021722694995,0.685,401.8470300000001,4.7641963184274365,397.08283368157265,238.2098159213769,1443.9375770239005,476.4196318427538
10,6.5,6.805,7.175,0.305,0.37,0.009999999999999787,0.41144443758609484,0.675,395.98065,4.875321178823735,391.1053288211763,243.76605894119194,1282.3125535120535,487.5321178823839
11,7.175,7.46,7.855,0.285,0.395,0.009999999999999787,0.39320073242425646,0.6799999999999999,398.91384,4.700765407835265,394.21307459216473,235.03827039176824,1383.2037704988238,470.0765407835365
12,7.855,8.135,8.525,0.28,0.39,0.009999999999999787,0.39663675328727444,0.67,393.04746000000006,4.733641255452621,388.31381874454746,236.6820627726361,1386.8350669448123,473.3641255452722
13,8.525,8.815,9.18,0.29,0.365,0.009999999999999787,0.3103888677545588,0.655,384.24789000000004,3.9084214866755986,380.33946851332445,195.4210743337841,1311.5154086666362,390.8421486675682
14,9.18,9.525,9.895,0.345,0.37,0.025000000000000355,0.47855921214053215,0.715,419.44617,6.925406541760644,412.52076345823934,138.50813083521092,1195.7123578499693,277.01626167042184
15,9.895,10.2,10.54,0.305,0.34,0.009999999999999787,0.29326113794803793,0.645,378.38151000000005,3.7445433678868065,374.63696663211323,187.22716839434432,1228.3179233839778,374.45433678868864
16,10.54,10.865,11.225,0.325,0.36,0.025000000000000355,0.4017674044580838,0.685,401.8470300000001,6.190662525854978,395.6563674741451,123.8132505170978,1217.4042076127541,247.6265010341956
17,11.225,11.555,11.925,0.33,0.37,0.025000000000000355,0.4939719155238956,0.7,410.6466,7.072875287732667,403.57372471226734,141.45750575465132,1222.9506809462646,282.91501150930264
18,11.925,12.235,12.615,0.31,0.38,0.009999999999999787,0.3977490177902415,0.69,404.78022,4.744283402217011,400.03593659778295,237.2141701108556,1290.4385051541385,474.4283402217112
19,12.615,12.9,13.3,0.285,0.4,0.009999999999999787,0.4225329986185661,0.685,401.8470300000001,4.98141653078242,396.86561346921764,249.0708265391263,1392.5109244533953,498.1416530782526
20,13.3,13.6,13.935,0.3,0.335,0.009999999999999787,0.41413385020165616,0.635,372.51513,4.901053478729426,367.6140765212706,245.0526739364765,1225.380255070902,490.105347872953
21,13.935,14.245,14.645,0.31,0.4,0.02999999999999936,0.41748419703850764,0.71,416.51298,6.810351197264381,409.70262880273566,113.5058532877421,1321.6213832346311,227.0117065754842
22,14.645,14.95,15.335,0.305,0.385,0.009999999999999787,0.3988467633807377,0.69,404.78022,4.754786632026878,400.0254333679731,237.73933160134897,1311.5587979277807,475.47866320269793
23,15.335,15.64,16.01,0.305,0.37,0.009999999999999787,0.40021819892330085,0.675,395.98065,4.767908527298123,391.2127414727019,238.39542636491123,1282.6647261400062,476.79085272982246
24,16.01,16.305,16.655,0.295,0.35,0.00999999999999801,0.4218314241589541,0.645,378.38151000000005,4.9747038663526855,373.40680613364736,248.73519331768375,1265.7857835038894,497.4703866353675
25,16.655,17.005,17.39,0.35,0.385,0.029999999999997584,0.43098795132425344,0.735,431.17893000000004,6.93955511827023,424.2393748817298,115.65925197117983,1212.1124996620852,231.31850394235965
26,17.39,17.705,18.07,0.315,0.365,0.00999999999999801,0.44304423017242495,0.6799999999999999,398.91384,5.177667994289575,393.73617200571044,258.88339971453024,1249.95610160543,517.7667994290605
27,18.07,18.365,18.71,0.295,0.345,0.00999999999999801,0.45079901592696425,0.6399999999999999,375.44831999999997,5.251865784389007,370.19645421561097,262.5932892195026,1254.9032346291897,525.1865784390052
28,18.71,19.015,19.43,0.305,0.415,0.02499999999999858,0.49209804191450435,0.72,422.37936,7.054946065037845,415.3244139349622,141.0989213007649,1361.7193899506958,282.1978426015298
29,19.43,19.735,20.12,0.305,0.385,0.010000000000001563,0.4957736226061604,0.69,404.78022,5.68218282109589,399.0980371789041,284.10914105475007,1308.5181546849317,568.2182821095001
