Step,Side,MeanGRF,PeakGRF
1,left,707.7928393994197,1389.0966186964215
2,left,673.5122590828952,1315.0400157081583
3,left,704.8768833756023,1386.8534969228529
4,left,681.7060544291672,1344.5636225039934
5,left,659.4018164229118,1294.4167726762548
6,left,686.7902020240214,1348.0898461242061
7,left,738.3475874424008,1442.9077374758049
8,left,695.1821356778279,1365.1136857831398
9,left,737.8400258454847,1443.9249342747476
10,left,655.8495011877635,1282.3013259103845
11,left,706.7040867179302,1383.191659519391
12,left,708.9273934523584,1386.8229241706738
13,left,667.9197348581722,1311.5039253722157
14,left,616.7151270714222,1195.7018884975264
15,left,625.2051401188397,1228.307168545519
16,left,626.5163723916547,1217.3935483320072
17,left,631.6641493652775,1222.9399731020117
18,left,659.225058809108,1290.4272064037095
19,left,712.3312914442687,1392.498731982896
20,left,627.7904902856756,1225.3695259539177
21,left,681.437420007352,1321.6098114548747
22,left,670.0494870390553,1311.5473142534547
23,left,655.6737703448404,1282.6534954548035
24,left,648.4793358101111,1265.7747006064035
25,left,624.6532551258991,1212.1018867141834
26,left,640.1545364132669,1249.9451573086014
27,left,643.9864114426352,1254.8922470165262
28,left,702.6068174429045,1361.7074670830195
29,left,671.5667395387741,1308.5066976337025
30,left,665.8017487994574,1305.6336389427622
31,left,646.0530959002253,1260.0516564543461
32,left,640.8335429476847,1257.8958658075408
33,left,710.1692174620716,1373.1597309813699
34,left,750.938744585273,1461.5479359467588
35,left,687.621436009277,1345.7136982367638
36,left,644.9816956136003,1249.582943914293
37,left,685.1918836557927,1351.292923910703
38,left,767.6038852966246,1507.760882888478
39,left,680.3424561361517,1335.1585375610216
40,left,682.6613428680089,1336.4777949680029
41,left,691.0426207997726,1359.4542801090365
42,left,665.5429531665832,1306.1522898021162
43,left,672.0350553956223,1312.6967871241989
1,right,620.1939818643285,1193.9622505347525
2,right,648.8509447419743,1254.4449192533912
3,right,616.1995606262686,1183.9163826862832
4,right,595.9880378553726,1152.2179946025833
5,right,624.0883092340855,1204.2086114091962
6,right,666.1134481866583,1280.9660545903905
7,right,609.5508282398916,1176.8008887892288
8,right,615.7849152711749,1184.7474091805282
9,right,579.0081826033842,1119.200550971852
10,right,586.8939422646765,1135.9340749044916
11,right,622.9719235742139,1206.4459185804888
12,right,600.4656500909928,1160.756634504334
13,right,579.3305358584165,1118.5545353341463
14,right,614.3366253762701,1185.4944953768822
15,right,591.9803881658601,1142.995052577932
16,right,624.118689341757,1204.1477422751902
17,right,654.2187786642401,1262.6117711557467
18,right,605.150506795807,1168.8799426704936
19,right,679.6717796261295,1311.4979172906878
20,right,601.0344192663523,1159.6167932716126
21,right,597.4059418070739,1149.3764261764643
22,right,633.2550426117864,1224.1960634424725
23,right,614.0732282081996,1187.083725654131
24,right,622.7335738380901,1205.2826280931704
25,right,597.580364529809,1149.0268629326854
26,right,588.8037114611817,1133.092776181365
27,right,600.7856387771477,1160.115364787231
28,right,595.7318798545845,1152.7313344166014
29,right,610.0038057078682,1176.6656909449584
30,right,638.7391074268797,1234.1575391032495
31,right,644.4165189174448,1241.403604635644
32,right,676.7387654095721,1303.27055688977
33,right,630.449515783377,1211.4855818911956
34,right,669.8065892609125,1292.7992726113987
35,right,610.9997011337867,1175.4658803848467
36,right,601.597024182753,1158.2317610547823
37,right,601.4880641589485,1158.7076521914325
38,right,627.9691173159184,1212.5676621689315
39,right,630.3698102169775,1211.6453205042628
40,right,629.6464305702879,1211.1207276312202
41,right,654.6800369259234,1261.6873716867678
42,right,665.8518971152038,1281.4901710845438
43,right,623.7336325868226,1203.2784498005824
44,right,585.1499365349885,1123.653588175426
