Step,Touchdown_s,ToeOff_s,NextTouchdown_s,ContactTime_s,AerialTime_s,dt1_s,dv1_mps,t_step_s,JT_Ns,J1_Ns,J2_Ns,F1avg_N,F2avg_N,A1_N
1,0.03,0.355,0.705,0.325,0.35,0.025,0.5845494342650914,0.675,395.98065,7.939520987048396,388.0411290129516,158.7904197409679,1193.9727046552357,317.5808394819358
2,0.705,1.015,1.38,0.31,0.365,0.025000000000000022,0.49673579491084224,0.675,395.98065,7.09932008570694,388.8813299142931,141.98640171413868,1254.4559029493325,283.97280342827736
3,1.38,1.705,2.05,0.325,0.345,0.030000000000000027,0.5701718462316748,0.6699999999999999,393.04746,8.271266624744667,384.77619337525533,137.85444374574433,1183.9267488469395,275.70888749148867
4,2.05,2.385,2.72,0.335,0.335,0.03000000000000025,0.4426410662661265,0.67,393.04746000000006,7.051052122034322,385.99640787796574,117.51753536723771,1152.228083217808,235.03507073447543
5,2.72,3.045,3.4,0.325,0.355,0.029999999999999805,0.4940167376023277,0.6799999999999999,398.91384,7.5426145453790525,391.3712254546209,125.71024242298503,1204.2191552449874,251.42048484597007
6,3.4,3.705,4.08,0.305,0.375,0.02499999999999991,0.6134218747176164,0.6799999999999999,398.91384,8.215772497298147,390.69806750270186,164.31544994596354,1280.977270500662,328.6308998919271
7,4.08,4.42,4.775,0.34,0.355,0.03000000000000025,0.49976401543870563,0.6950000000000001,407.71341000000007,7.597604499717559,400.11580550028253,126.62674166195828,1176.8111926478898,253.25348332391656
8,4.775,5.1,5.445,0.325,0.345,0.024999999999999467,0.5909937969597767,0.6699999999999999,393.04746,8.001180649311094,385.0462793506889,160.0236129862253,1184.7577826175043,320.0472259724506
9,5.445,5.795,6.125,0.35,0.33,0.02999999999999936,0.45718592471985786,0.6799999999999999,398.91384,7.190217327719539,391.72362267228044,119.83695546199488,1119.21035049223,239.67391092398975
10,6.125,6.465,6.795,0.34,0.33,0.025000000000000355,0.4682212458391649,0.67,393.04746000000006,6.826492880189163,386.2209671198109,136.52985760378132,1135.9440209406202,273.05971520756265
11,6.795,7.12,7.475,0.325,0.355,0.03000000000000025,0.4180205840440751,0.6799999999999999,398.91384,6.815483348133734,392.09835665186625,113.59138913556129,1206.4564820057424,227.18277827112257
12,7.475,7.81,8.15,0.335,0.34,0.03500000000000014,0.401191462103595,0.675,395.98065,7.123772709407211,388.8568772905928,101.76818156295974,1160.7667978823665,203.53636312591948
13,8.15,8.5,8.83,0.35,0.33,0.02999999999999936,0.48081755650666164,0.6799999999999999,398.91384,7.416324780655677,391.49751521934434,123.60541301093059,1118.5643291981266,247.21082602186118
14,8.83,9.165,9.52,0.335,0.355,0.02999999999999936,0.5037859903850445,0.69,404.78022,7.636086756004046,397.14413324399595,127.26811260007014,1185.5048753552117,254.53622520014028
15,9.52,9.86,10.195,0.34,0.335,0.030000000000001137,0.4748188807310358,0.675,395.98065,7.358929450834657,388.6217205491654,122.64882418057297,1143.0050604387216,245.29764836114595
16,10.195,10.52,10.875,0.325,0.355,0.03500000000000014,0.4470343213987038,0.6799999999999999,398.91384,7.56239718714281,391.35144281285716,108.03424553061114,1204.158285578022,216.0684910612223
17,10.875,11.185,11.555,0.31,0.37,0.02999999999999936,0.48964270784408875,0.6799999999999999,398.91384,7.500763828652181,391.4130761713478,125.01273047753901,1262.6228263591865,250.02546095507802
18,11.555,11.89,12.235,0.335,0.345,0.030000000000001137,0.4723838050223819,0.6799999999999999,398.91384,7.335630646454257,391.57820935354573,122.26051077423298,1168.8901771747633,244.52102154846597
19,12.235,12.54,12.93,0.305,0.39,0.030000000000001137,0.5107839086106416,0.6950000000000001,407.71341000000007,7.703042837586725,400.01036716241333,128.38404729310722,1311.5094005325027,256.76809458621443
20,12.93,13.265,13.605,0.335,0.34,0.025000000000000355,0.5392005503502786,0.675,395.98065,7.505622865751498,388.47502713424853,150.11245731502783,1159.6269466693986,300.22491463005565
21,13.605,13.94,14.275,0.335,0.335,0.02999999999999936,0.5421324707016575,0.67,393.04746000000006,8.002985879673398,385.04447412032664,133.38309799455948,1149.3864899114228,266.76619598911896
22,14.275,14.595,14.955,0.32,0.36,0.025000000000000355,0.503879355022463,0.6799999999999999,398.91384,7.167669668854958,391.74617033114504,143.35339337709712,1224.2067822848283,286.70678675419424
23,14.955,15.285,15.635,0.33,0.35,0.02999999999999936,0.45536351895197336,0.6799999999999999,398.91384,7.172780549332421,391.7410594506676,119.54634248887623,1187.0941195474775,239.09268497775247
24,15.635,15.965,16.325,0.33,0.36,0.02999999999999936,0.44080348663840113,0.69,404.78022,7.0334701601561616,397.7467498398438,117.22450266927186,1205.29318133286,234.4490053385437
25,16.325,16.665,17.005,0.34,0.34,0.02500000000000213,0.6160884169777864,0.68,398.91384000000005,8.24128597364366,390.6725540263564,164.82571947285913,1149.0369236069305,329.65143894571827
26,17.005,17.355,17.695,0.35,0.34,0.030000000000001137,0.5621251600275725,0.69,404.78022,8.19427593114392,396.58594406885607,136.57126551906018,1133.1026973395888,273.14253103812035
27,17.695,18.03,18.37,0.335,0.34,0.02499999999999858,0.5217441414725438,0.675,395.98065,7.338599945609166,388.64205005439084,146.77199891219166,1160.1255225504203,293.5439978243833
28,18.37,18.715,19.06,0.345,0.345,0.02499999999999858,0.4951792959181203,0.69,404.78022,7.0844275033444415,397.69579249665554,141.68855006689688,1152.7414275265378,283.37710013379376
29,19.06,19.395,19.745,0.335,0.35,0.02500000000000213,0.5553950812447445,0.685,401.8470300000001,7.660572137349916,394.1864578626502,153.21144274698526,1176.6759936198512,306.4228854939705
30,19.745,20.06,20.42,0.315,0.36,0.02499999999999858,0.5091000493885584,0.675,395.98065,7.217621272549593,388.76302872745043,144.35242545100007,1234.1683451665092,288.70485090200015
31,20.42,20.735,21.1,0.315,0.365,0.029999999999997584,0.52805374629908,0.6799999999999999,398.91384,7.868280644589371,391.0455593554106,131.13801074316675,1241.4144741441607,262.2760214863335
